INFO: main: created ego vehicle vehicle.tesla.model3 with id 24
INFO: main: waiting for 3 seconds (60 ticks)
INFO: main: created sensor.other.imu
INFO: main: waiting for 10 seconds (200 ticks)
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1478, timestamp=16.785166, accelerometer=Vector3D(x=-0.006213, y=0.000010, z=9.809999), gyroscope=Vector3D(x=-0.000001, y=-0.003937, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778645, z=0.001878), Rotation(pitch=-0.036282, yaw=90.334061, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1507, timestamp=18.235166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000001, y=-0.000001, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1509, timestamp=18.335166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000002, y=-0.000001, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1511, timestamp=18.435166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000001, y=-0.000001, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1513, timestamp=18.535166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1515, timestamp=18.635166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000001, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1517, timestamp=18.735166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1519, timestamp=18.835166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1521, timestamp=18.935166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000001, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1523, timestamp=19.035166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1525, timestamp=19.135166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1527, timestamp=19.235166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1529, timestamp=19.335166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1531, timestamp=19.435166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1533, timestamp=19.535166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1535, timestamp=19.635166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1537, timestamp=19.735166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1539, timestamp=19.835166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1541, timestamp=19.935166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1543, timestamp=20.035166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1545, timestamp=20.135166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1547, timestamp=20.235166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1549, timestamp=20.335166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1551, timestamp=20.435166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1553, timestamp=20.535166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1555, timestamp=20.635166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1557, timestamp=20.735166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1559, timestamp=20.835166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1561, timestamp=20.935166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1563, timestamp=21.035166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1565, timestamp=21.135166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1567, timestamp=21.235166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1569, timestamp=21.335166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1571, timestamp=21.435166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1573, timestamp=21.535166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1575, timestamp=21.635166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1577, timestamp=21.735166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1579, timestamp=21.835166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1581, timestamp=21.935166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1583, timestamp=22.035166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1585, timestamp=22.135166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1587, timestamp=22.235166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1589, timestamp=22.335166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1591, timestamp=22.435166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1593, timestamp=22.535166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1595, timestamp=22.635166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1597, timestamp=22.735166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1599, timestamp=22.835166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1601, timestamp=22.935166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1603, timestamp=23.035166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1605, timestamp=23.135166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1607, timestamp=23.235166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1609, timestamp=23.335166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1611, timestamp=23.435166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=-0.000000, y=0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1613, timestamp=23.535166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=0.000000, z=0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
INFO: on_measurement: ImuDataBuffer: received IMU measurement with data IMUMeasurement(frame=1615, timestamp=23.635166, accelerometer=Vector3D(x=0.000001, y=0.000010, z=9.810000), gyroscope=Vector3D(x=0.000000, y=-0.000000, z=-0.000000), compass=3.147422), transform: Transform(Location(x=99.417870, y=-8.778402, z=0.001678), Rotation(pitch=0.000007, yaw=90.334091, roll=-0.000061))
